"ID","CONTENT","FORMAT","RC","DOK"
"ITEM138","BIO","RS","IOD",2
"ITEM139","PHY","DR","EMI",3
"ITEM140","ESS","RS","SIN",2
"ITEM141","BIO","RS","SIN",2
"ITEM142","BIO","RS","SIN",2
"ITEM143","PHY","CV","EMI",2
"ITEM144","CHE","RS","SIN",2
"ITEM145","PHY","RS","SIN",2
"ITEM146","PHY","DR","IOD",2
"ITEM147","BIO","RS","IOD",2
"ITEM148","CHE","RS","SIN",2
"ITEM149","BIO","RS","EMI",2
"ITEM150","ESS","RS","IOD",1
"ITEM151","CHE","RS","SIN",2
"ITEM152","PHY","DR","IOD",2
"ITEM153","CHE","CV","IOD",2
"ITEM154","PHY","CV","EMI",2
"ITEM155","BIO","RS","SIN",2
"ITEM156","PHY","CV","EMI",3
"ITEM157","BIO","DR","IOD",1
"ITEM158","CHE","RS","SIN",2
"ITEM159","PHY","CV","EMI",3
"ITEM160","CHE","CV","EMI",2
"ITEM161","BIO","DR","IOD",2
"ITEM162","PHY","RS","SIN",2
"ITEM163","BIO","DR","SIN",2
"ITEM164","PHY","CV","EMI",2
"ITEM165","BIO","RS","IOD",2
"ITEM166","CHE","CV","EMI",2
"ITEM167","BIO","RS","IOD",2
"ITEM168","ESS","RS","SIN",2
"ITEM169","BIO","RS","EMI",2
"ITEM170","PHY","RS","SIN",3
"ITEM171","CHE","RS","SIN",2
"ITEM172","ESS","RS","SIN",2
"ITEM173","ESS","DR","EMI",2
"ITEM174","BIO","DR","EMI",2
"ITEM175","PHY","CV","EMI",2
"ITEM176","CHE","CV","EMI",2
"ITEM177","ESS","DR","IOD",3
"ITEM178","ESS","RS","SIN",2
"ITEM179","BIO","DR","IOD",1
"ITEM180","CHE","DR","IOD",2
"ITEM181","CHE","DR","EMI",2
"ITEM182","ESS","RS","SIN",2
"ITEM183","ESS","DR","EMI",2
"ITEM184","BIO","RS","EMI",3
"ITEM185","BIO","DR","IOD",2
"ITEM186","BIO","DR","IOD",2
"ITEM187","BIO","CV","EMI",2
"ITEM188","ESS","DR","IOD",2
"ITEM189","CHE","RS","EMI",2
"ITEM190","PHY","RS","SIN",2
"ITEM191","CHE","DR","EMI",2
"ITEM192","PHY","DR","IOD",3
"ITEM193","BIO","RS","EMI",2
"ITEM194","PHY","CV","EMI",2
"ITEM195","ESS","RS","SIN",2
"ITEM196","PHY","RS","IOD",1
"ITEM197","ESS","DR","IOD",2
"ITEM198","PHY","RS","IOD",2
"ITEM199","ESS","RS","SIN",2
"ITEM200","PHY","RS","SIN",2
"ITEM201","BIO","DR","IOD",2
"ITEM202","ESS","RS","IOD",1
"ITEM203","PHY","DR","IOD",2
"ITEM204","ESS","DR","EMI",2
"ITEM205","ESS","RS","EMI",3
"ITEM206","CHE","RS","SIN",2
"ITEM207","PHY","RS","SIN",2
"ITEM208","ESS","DR","EMI",3
"ITEM209","BIO","CV","EMI",2
"ITEM210","BIO","RS","SIN",2
"ITEM211","BIO","RS","IOD",2
"ITEM212","BIO","RS","IOD",2
"ITEM213","PHY","RS","IOD",2
"ITEM214","CHE","RS","SIN",2
"ITEM215","BIO","DR","SIN",2
"ITEM216","ESS","DR","IOD",2
"ITEM217","PHY","DR","IOD",2
"ITEM218","BIO","RS","SIN",2
"ITEM219","PHY","DR","EMI",2
"ITEM220","CHE","RS","EMI",3
"ITEM221","BIO","DR","SIN",2
"ITEM222","CHE","RS","EMI",2
"ITEM223","CHE","RS","SIN",3
"ITEM224","CHE","RS","SIN",2
"ITEM225","BIO","RS","IOD",3
"ITEM226","ESS","RS","SIN",2
"ITEM227","BIO","RS","SIN",2
"ITEM228","ESS","RS","SIN",2
"ITEM229","CHE","DR","EMI",1
"ITEM230","CHE","CV","EMI",2
"ITEM231","BIO","RS","IOD",1
"ITEM232","BIO","DR","IOD",2
"ITEM233","ESS","RS","EMI",2
"ITEM234","CHE","RS","SIN",1
"ITEM235","CHE","CV","EMI",2
"ITEM236","PHY","RS","SIN",2
"ITEM237","PHY","DR","IOD",2
"ITEM238","CHE","CV","EMI",2
"ITEM239","ESS","DR","IOD",2
"ITEM240","BIO","CV","EMI",2
"ITEM241","ESS","DR","IOD",2
"ITEM242","CHE","RS","SIN",2
"ITEM243","CHE","RS","SIN",2
"ITEM244","BIO","CV","EMI",2
"ITEM245","BIO","DR","IOD",2
"ITEM246","BIO","RS","EMI",2
"ITEM247","BIO","RS","SIN",3
"ITEM248","CHE","CV","EMI",2
"ITEM249","BIO","RS","IOD",2
"ITEM250","BIO","DR","EMI",2
"ITEM251","PHY","DR","IOD",2
"ITEM252","CHE","RS","IOD",2
"ITEM253","BIO","DR","IOD",2
"ITEM254","BIO","DR","IOD",2
"ITEM255","PHY","RS","IOD",3
"ITEM256","PHY","RS","SIN",3
"ITEM257","PHY","DR","IOD",2
"ITEM258","CHE","CV","EMI",2
"ITEM259","ESS","RS","EMI",2
"ITEM260","BIO","CV","EMI",1
"ITEM261","ESS","RS","EMI",2
"ITEM262","ESS","DR","IOD",1
"ITEM263","BIO","DR","EMI",2
"ITEM264","CHE","DR","EMI",2
"ITEM265","CHE","RS","EMI",2
"ITEM266","BIO","DR","IOD",2
"ITEM267","ESS","CV","EMI",2
"ITEM268","ESS","RS","SIN",2
"ITEM269","BIO","RS","EMI",2
"ITEM270","CHE","RS","IOD",2
"ITEM271","CHE","DR","SIN",2
"ITEM272","PHY","DR","IOD",2
"ITEM273","BIO","DR","IOD",2
"ITEM274","CHE","RS","SIN",2
"ITEM275","CHE","RS","SIN",3
"ITEM276","ESS","CV","EMI",2
"ITEM277","CHE","RS","SIN",2
"ITEM278","CHE","RS","EMI",2
"ITEM279","BIO","RS","SIN",2
"ITEM280","CHE","DR","EMI",2
"ITEM281","BIO","RS","IOD",2
"ITEM282","CHE","DR","IOD",3
"ITEM283","PHY","DR","IOD",3
"ITEM284","CHE","RS","EMI",2
"ITEM285","BIO","DR","EMI",2
"ITEM286","BIO","RS","SIN",2
"ITEM287","PHY","DR","IOD",2
"ITEM288","CHE","RS","EMI",2
"ITEM289","BIO","CV","EMI",2
"ITEM290","BIO","RS","EMI",2
"ITEM291","PHY","RS","SIN",3
"ITEM292","BIO","RS","EMI",2
"ITEM293","PHY","RS","SIN",2
"ITEM294","BIO","DR","IOD",2
"ITEM295","CHE","RS","IOD",2
"ITEM296","ESS","DR","IOD",2
"ITEM297","BIO","RS","IOD",2
"ITEM298","CHE","RS","SIN",2
"ITEM299","CHE","RS","IOD",2
"ITEM300","CHE","DR","IOD",2
"ITEM301","BIO","RS","IOD",2
"ITEM302","BIO","RS","EMI",3
"ITEM303","ESS","RS","SIN",2
"ITEM304","PHY","RS","SIN",2
"ITEM305","PHY","DR","IOD",2
"ITEM306","BIO","RS","SIN",2
"ITEM307","CHE","RS","EMI",3
"ITEM308","CHE","CV","EMI",2
"ITEM309","PHY","CV","EMI",1
"ITEM310","ESS","CV","EMI",2
"ITEM311","CHE","RS","IOD",1
"ITEM312","CHE","CV","EMI",2
"ITEM313","CHE","CV","EMI",2
"ITEM314","BIO","CV","EMI",2
"ITEM315","ESS","DR","EMI",2
"ITEM316","BIO","RS","SIN",2
"ITEM317","CHE","RS","SIN",2
"ITEM318","CHE","RS","SIN",1
"ITEM319","PHY","CV","EMI",3
"ITEM320","CHE","RS","SIN",2
"ITEM321","CHE","CV","EMI",2
"ITEM322","BIO","RS","IOD",2
"ITEM323","ESS","RS","IOD",1
"ITEM324","ESS","RS","IOD",2
"ITEM325","ESS","RS","IOD",2
"ITEM326","CHE","DR","EMI",2
"ITEM327","ESS","RS","SIN",1
"ITEM328","BIO","CV","EMI",2
"ITEM329","BIO","CV","EMI",3
"ITEM330","CHE","RS","SIN",3
"ITEM331","ESS","DR","IOD",2
"ITEM332","BIO","DR","EMI",3
"ITEM333","CHE","RS","SIN",3
"ITEM334","PHY","CV","EMI",2
"ITEM335","ESS","DR","EMI",2
"ITEM336","CHE","CV","EMI",2
"ITEM337","CHE","DR","IOD",2
"ITEM338","CHE","DR","IOD",2
"ITEM339","CHE","DR","IOD",2
"ITEM340","ESS","CV","EMI",2
"ITEM341","ESS","RS","SIN",2
"ITEM342","ESS","CV","EMI",2
"ITEM343","PHY","CV","EMI",2
"ITEM344","CHE","DR","IOD",2
"ITEM345","PHY","RS","SIN",2
"ITEM346","PHY","RS","IOD",2
"ITEM347","PHY","RS","SIN",2
"ITEM348","BIO","RS","SIN",2
"ITEM349","PHY","DR","IOD",2
"ITEM350","PHY","DR","IOD",3
"ITEM351","BIO","DR","SIN",3
"ITEM352","CHE","DR","IOD",1
"ITEM353","PHY","RS","IOD",2
"ITEM354","CHE","RS","IOD",2
"ITEM355","CHE","RS","SIN",2
"ITEM356","PHY","RS","SIN",2
"ITEM357","PHY","DR","EMI",3
"ITEM358","PHY","RS","SIN",2
"ITEM359","PHY","RS","IOD",1
"ITEM360","PHY","RS","SIN",2
"ITEM361","CHE","CV","SIN",2
"ITEM362","PHY","RS","EMI",3
"ITEM363","CHE","RS","SIN",2
"ITEM364","BIO","CV","EMI",2
"ITEM365","BIO","CV","EMI",2
"ITEM366","PHY","RS","SIN",2
"ITEM367","CHE","CV","EMI",2
"ITEM368","ESS","RS","IOD",3
"ITEM369","PHY","RS","SIN",2
"ITEM370","ESS","RS","IOD",2
"ITEM371","BIO","CV","EMI",2
"ITEM372","PHY","RS","SIN",2
"ITEM373","CHE","CV","EMI",2
"ITEM374","PHY","RS","SIN",2
"ITEM375","PHY","RS","IOD",2
"ITEM376","BIO","RS","SIN",2
"ITEM377","CHE","RS","IOD",2
"ITEM378","ESS","CV","EMI",2
"ITEM379","PHY","RS","IOD",2
"ITEM380","BIO","DR","IOD",2
"ITEM381","CHE","RS","EMI",2
"ITEM382","BIO","RS","IOD",2
"ITEM383","CHE","RS","SIN",2
"ITEM384","CHE","DR","IOD",2
"ITEM385","ESS","RS","IOD",2
"ITEM386","CHE","CV","EMI",2
"ITEM387","CHE","DR","IOD",2
"ITEM388","PHY","RS","SIN",2
"ITEM389","BIO","RS","IOD",2
"ITEM390","BIO","CV","EMI",1
"ITEM391","BIO","RS","IOD",2
"ITEM392","ESS","RS","IOD",2
"ITEM393","CHE","RS","SIN",2
"ITEM394","PHY","CV","EMI",2
"ITEM395","PHY","DR","IOD",2
"ITEM396","BIO","DR","EMI",3
"ITEM397","BIO","RS","IOD",2
"ITEM398","CHE","DR","IOD",2
"ITEM399","ESS","CV","EMI",2
"ITEM400","CHE","DR","IOD",2
"ITEM401","PHY","RS","SIN",2
"ITEM402","ESS","DR","EMI",2
"ITEM403","ESS","RS","IOD",1
"ITEM404","PHY","DR","IOD",2
"ITEM405","CHE","RS","EMI",2
"ITEM406","PHY","RS","IOD",2
"ITEM407","BIO","CV","EMI",2
"ITEM408","PHY","CV","EMI",2
"ITEM409","PHY","RS","SIN",2
"ITEM410","PHY","RS","IOD",3
"ITEM411","PHY","CV","EMI",2
"ITEM412","ESS","DR","IOD",2
"ITEM413","BIO","CV","EMI",2
"ITEM414","CHE","DR","IOD",2
"ITEM415","PHY","DR","IOD",2
"ITEM416","BIO","RS","SIN",2
"ITEM417","PHY","RS","SIN",2
"ITEM418","BIO","DR","IOD",2
"ITEM419","ESS","RS","SIN",2
"ITEM420","ESS","RS","SIN",2
"ITEM421","BIO","RS","IOD",2
"ITEM422","CHE","DR","IOD",3
"ITEM423","PHY","CV","EMI",3
"ITEM424","ESS","RS","EMI",2
"ITEM425","ESS","DR","IOD",2
"ITEM426","CHE","RS","SIN",3
"ITEM427","BIO","RS","EMI",2
"ITEM428","PHY","CV","EMI",3
"ITEM429","PHY","DR","IOD",2
"ITEM430","PHY","DR","IOD",2
"ITEM431","ESS","CV","IOD",1
"ITEM432","PHY","RS","SIN",2
"ITEM433","PHY","DR","IOD",2
"ITEM434","CHE","RS","SIN",2
"ITEM435","CHE","CV","EMI",1
"ITEM436","ESS","RS","IOD",2
"ITEM437","BIO","RS","SIN",2
"ITEM438","BIO","RS","SIN",2
"ITEM439","CHE","DR","IOD",1
"ITEM440","ESS","RS","IOD",2
"ITEM441","BIO","DR","IOD",2
"ITEM442","ESS","DR","IOD",2
"ITEM443","CHE","RS","IOD",2
"ITEM444","BIO","RS","IOD",2
"ITEM445","ESS","RS","SIN",2
"ITEM446","CHE","DR","IOD",2
"ITEM447","CHE","RS","IOD",1
"ITEM448","BIO","RS","IOD",2
"ITEM449","BIO","DR","IOD",1
"ITEM450","BIO","RS","SIN",2
"ITEM451","BIO","DR","IOD",2
"ITEM452","CHE","DR","EMI",2
"ITEM453","PHY","RS","SIN",2
"ITEM454","ESS","DR","IOD",2
"ITEM455","CHE","RS","SIN",2
"ITEM456","ESS","DR","IOD",3
"ITEM457","CHE","DR","EMI",2
"ITEM458","BIO","DR","IOD",2
"ITEM459","PHY","CV","EMI",2
"ITEM460","CHE","RS","SIN",3
"ITEM461","ESS","DR","IOD",2
"ITEM462","PHY","DR","IOD",3
"ITEM463","CHE","CV","EMI",2
"ITEM464","BIO","DR","IOD",2
"ITEM465","ESS","DR","IOD",2
"ITEM466","PHY","DR","EMI",2
"ITEM467","BIO","RS","IOD",2
"ITEM468","CHE","DR","EMI",2
"ITEM469","BIO","RS","EMI",2
"ITEM470","PHY","RS","SIN",2
"ITEM471","CHE","RS","IOD",3
"ITEM472","ESS","RS","EMI",2
"ITEM473","PHY","CV","EMI",2
"ITEM474","ESS","DR","EMI",2
"ITEM475","CHE","DR","IOD",2
"ITEM476","BIO","RS","IOD",2
"ITEM477","PHY","DR","IOD",3
"ITEM478","ESS","RS","SIN",2
"ITEM479","CHE","DR","IOD",2
"ITEM480","CHE","DR","EMI",3
"ITEM481","ESS","DR","IOD",2
"ITEM482","PHY","DR","IOD",3
"ITEM483","PHY","CV","EMI",2
"ITEM484","CHE","DR","IOD",2
"ITEM485","CHE","RS","SIN",2
"ITEM486","CHE","DR","IOD",2
"ITEM487","BIO","DR","IOD",2
"ITEM488","BIO","DR","IOD",2
"ITEM489","CHE","CV","EMI",2
"ITEM490","PHY","DR","IOD",1
"ITEM491","PHY","DR","IOD",2
"ITEM492","ESS","RS","IOD",2
"ITEM493","ESS","RS","EMI",2
"ITEM494","PHY","DR","IOD",2
"ITEM495","BIO","DR","IOD",2
"ITEM496","BIO","DR","IOD",2
"ITEM497","BIO","RS","IOD",2
"ITEM498","BIO","DR","SIN",1
"ITEM499","BIO","DR","IOD",2
"ITEM500","ESS","RS","SIN",2
"ITEM501","PHY","DR","IOD",2
"ITEM502","BIO","DR","SIN",2
"ITEM503","BIO","DR","IOD",2
"ITEM504","PHY","DR","IOD",1
"ITEM505","PHY","RS","SIN",2
"ITEM506","BIO","RS","EMI",2
"ITEM507","PHY","CV","EMI",2
"ITEM508","ESS","CV","IOD",2
"ITEM509","BIO","CV","EMI",2
"ITEM510","BIO","CV","EMI",3
"ITEM511","CHE","DR","IOD",2
"ITEM512","PHY","DR","EMI",2
"ITEM513","ESS","RS","IOD",1
"ITEM514","CHE","DR","IOD",1
"ITEM515","BIO","CV","EMI",1
"ITEM516","CHE","RS","IOD",2
"ITEM517","CHE","DR","IOD",2
"ITEM518","PHY","RS","SIN",2
"ITEM519","PHY","DR","IOD",2
"ITEM520","BIO","CV","EMI",2
"ITEM521","PHY","RS","SIN",2
"ITEM522","ESS","RS","EMI",2
"ITEM523","PHY","DR","SIN",2
"ITEM524","BIO","DR","IOD",2
"ITEM525","ESS","RS","EMI",2
"ITEM526","PHY","DR","IOD",3
"ITEM527","CHE","CV","EMI",2
"ITEM528","PHY","RS","IOD",2
"ITEM529","ESS","DR","IOD",2
"ITEM530","PHY","CV","EMI",2
"ITEM531","ESS","DR","IOD",2
"ITEM532","CHE","RS","EMI",2
"ITEM533","PHY","DR","EMI",2
"ITEM534","ESS","DR","EMI",3
"ITEM535","ESS","CV","EMI",3
"ITEM536","BIO","RS","IOD",2
"ITEM537","BIO","RS","EMI",2
"ITEM538","PHY","RS","SIN",2
"ITEM539","ESS","DR","EMI",3
"ITEM540","CHE","RS","SIN",1
"ITEM541","ESS","RS","IOD",2
"ITEM542","PHY","RS","EMI",2
"ITEM543","PHY","DR","IOD",2
"ITEM544","BIO","DR","IOD",2
"ITEM545","BIO","DR","IOD",2
"ITEM546","CHE","CV","IOD",2
"ITEM547","ESS","RS","SIN",2
"ITEM548","BIO","RS","SIN",1
"ITEM549","BIO","CV","EMI",1
"ITEM550","PHY","DR","IOD",3
"ITEM551","BIO","DR","EMI",3
"ITEM552","ESS","DR","IOD",2
"ITEM553","PHY","RS","IOD",2
"ITEM554","CHE","RS","IOD",3
"ITEM555","PHY","DR","IOD",2
"ITEM556","PHY","RS","SIN",2
"ITEM557","BIO","RS","EMI",2
"ITEM558","PHY","RS","SIN",2
"ITEM559","CHE","DR","IOD",2
"ITEM560","PHY","RS","EMI",3
"ITEM561","BIO","DR","IOD",2
"ITEM562","PHY","CV","IOD",2
"ITEM563","BIO","DR","SIN",3
"ITEM564","ESS","RS","IOD",1
"ITEM565","BIO","RS","IOD",2
"ITEM566","CHE","RS","SIN",2
"ITEM567","ESS","RS","SIN",2
"ITEM568","CHE","DR","IOD",2
"ITEM569","BIO","RS","SIN",2
"ITEM570","CHE","CV","EMI",2
"ITEM571","ESS","RS","SIN",2
"ITEM572","CHE","DR","IOD",3
"ITEM573","PHY","CV","EMI",2
"ITEM574","PHY","RS","SIN",2
"ITEM575","BIO","CV","EMI",2
"ITEM576","ESS","CV","EMI",2
"ITEM577","BIO","CV","EMI",2
"ITEM578","BIO","RS","IOD",2
"ITEM579","PHY","RS","SIN",2
"ITEM580","PHY","DR","EMI",2
"ITEM581","BIO","DR","EMI",2
"ITEM582","PHY","RS","IOD",1
"ITEM583","BIO","DR","IOD",2
"ITEM584","PHY","CV","EMI",3
"ITEM585","ESS","RS","SIN",2
"ITEM586","CHE","DR","IOD",1
"ITEM587","PHY","CV","EMI",2
"ITEM588","PHY","DR","IOD",2
"ITEM589","BIO","RS","IOD",2
"ITEM590","BIO","DR","SIN",2
"ITEM591","BIO","DR","IOD",1
"ITEM592","CHE","RS","EMI",2
"ITEM593","ESS","DR","EMI",3
"ITEM594","ESS","DR","IOD",2
"ITEM595","PHY","RS","IOD",2
"ITEM596","PHY","DR","IOD",2
"ITEM597","CHE","RS","EMI",2
"ITEM598","ESS","DR","IOD",2
"ITEM599","CHE","DR","EMI",3
"ITEM600","PHY","DR","IOD",2
"ITEM601","CHE","DR","EMI",3
"ITEM602","ESS","RS","EMI",2
"ITEM603","CHE","DR","IOD",2
"ITEM604","BIO","RS","IOD",2
"ITEM605","PHY","RS","SIN",2
"ITEM606","CHE","RS","SIN",2
"ITEM607","CHE","DR","EMI",2
"ITEM608","PHY","CV","EMI",2
"ITEM609","PHY","CV","EMI",2
"ITEM610","CHE","DR","EMI",2
"ITEM611","BIO","DR","EMI",2
"ITEM612","CHE","CV","EMI",1
"ITEM613","BIO","DR","IOD",2
"ITEM614","CHE","RS","SIN",2
"ITEM615","PHY","RS","IOD",2
"ITEM616","CHE","DR","IOD",2
"ITEM617","BIO","CV","EMI",2
"ITEM618","BIO","RS","IOD",3
"ITEM619","PHY","DR","IOD",2
"ITEM620","ESS","RS","SIN",1
"ITEM621","BIO","DR","IOD",2
"ITEM622","ESS","RS","IOD",2
"ITEM623","BIO","CV","EMI",1
"ITEM624","BIO","RS","EMI",2
"ITEM625","CHE","RS","IOD",2
"ITEM626","CHE","RS","SIN",3
"ITEM627","CHE","CV","SIN",2
"ITEM628","CHE","RS","SIN",1
"ITEM629","BIO","RS","IOD",2
"ITEM630","ESS","RS","SIN",2
"ITEM631","CHE","CV","EMI",2
"ITEM632","CHE","DR","IOD",2
"ITEM633","PHY","CV","EMI",2
"ITEM634","BIO","DR","IOD",2
"ITEM635","BIO","DR","IOD",2
"ITEM636","BIO","CV","EMI",2
"ITEM637","BIO","CV","EMI",2
"ITEM638","ESS","RS","IOD",1
"ITEM639","ESS","RS","EMI",2
"ITEM640","CHE","DR","EMI",3
"ITEM641","BIO","DR","IOD",2
"ITEM642","PHY","DR","IOD",2
"ITEM643","PHY","RS","SIN",2
"ITEM644","BIO","RS","EMI",2
"ITEM645","PHY","RS","IOD",1
"ITEM646","BIO","RS","EMI",3
"ITEM647","PHY","DR","IOD",1
"ITEM648","ESS","CV","EMI",2
"ITEM649","CHE","CV","EMI",2
"ITEM650","CHE","CV","SIN",2
"ITEM651","ESS","CV","EMI",3
"ITEM652","PHY","RS","SIN",2
"ITEM653","BIO","CV","EMI",2
"ITEM654","PHY","RS","SIN",2
"ITEM655","BIO","DR","IOD",2
"ITEM656","ESS","CV","EMI",2
"ITEM657","ESS","CV","EMI",2
"ITEM658","ESS","CV","EMI",2
"ITEM659","PHY","DR","EMI",3
"ITEM660","BIO","RS","SIN",2
"ITEM661","ESS","RS","EMI",2
"ITEM662","BIO","CV","EMI",3
"ITEM663","ESS","DR","EMI",2
"ITEM664","BIO","RS","SIN",2
"ITEM665","BIO","DR","IOD",2
"ITEM666","BIO","RS","IOD",2
"ITEM667","CHE","DR","EMI",2
"ITEM668","CHE","RS","IOD",2
"ITEM669","ESS","RS","EMI",2
"ITEM670","BIO","CV","EMI",2
"ITEM671","CHE","RS","SIN",2
"ITEM672","PHY","RS","SIN",2
"ITEM673","PHY","RS","SIN",2
"ITEM674","BIO","RS","IOD",2
"ITEM675","PHY","CV","EMI",2
"ITEM676","BIO","DR","EMI",2
"ITEM677","PHY","CV","EMI",2
"ITEM678","BIO","RS","IOD",2
"ITEM679","PHY","RS","EMI",2
"ITEM680","PHY","RS","IOD",3
"ITEM681","BIO","RS","EMI",2
"ITEM682","ESS","RS","SIN",2
"ITEM683","CHE","RS","SIN",3
"ITEM684","BIO","CV","EMI",2
"ITEM685","ESS","DR","IOD",2
"ITEM686","CHE","RS","SIN",3
"ITEM687","PHY","DR","IOD",2
"ITEM688","CHE","RS","SIN",2
"ITEM689","PHY","RS","EMI",2
"ITEM690","ESS","RS","IOD",2
"ITEM691","CHE","RS","IOD",1
"ITEM692","ESS","DR","IOD",3
"ITEM693","CHE","CV","EMI",2
"ITEM694","BIO","RS","IOD",2
"ITEM695","CHE","RS","SIN",2
"ITEM696","CHE","DR","IOD",2
"ITEM697","ESS","DR","EMI",2
